Company,Sector,MktCap2013,Debt,MktCap2018,Changevs2015,Change,Stake,Latitude,Longitude
Cummins Inc.,Industrials,26234.5, ,22786.9,-13%,Down,395,39.203972,-85.922884
CVS Health Corporation,Health Care,85114.9, ,75520,-11%,Down,388,41.998814,-71.498514
"D.R. Horton, Inc.",Consumer Discretionary,7218.1, ,13520.2,87%,Up,129,32.685678,-97.102867
Danaher Corporation,Health Care,53823.8, ,70363.6,31%,Up,261,38.901944,-77.049277
"Darden Restaurants, Inc.",Consumer Discretionary,7099, ,13196.7,86%,Up,132,28.41959,-81.293691
DaVita Inc.,Health Care,13478.8, ,11290.8,-16%,Down,407,39.753627,-105.003635
Deere & Company,Industrials,34019, ,46935.4,38%,Up,238,41.482333,-90.493407
"Delta Air Lines, Inc.",Industrials,23149.4, ,36466.5,58%,Up,188,32.560417,-84.647148
DENTSPLY SIRONA Inc.,Health Care,6915.8, ,8066.7,17%,Up,302,39.962558,-76.73427
Devon Energy Corporation,Energy,25119.2, ,17777.5,-29%,Down,438,35.46691,-97.517763
"Digital Realty Trust, Inc.",Real Estate,6308.8, ,23208.4,268%,Up,21,37.79491,-122.399435
Discover Financial Services,Financials,26679.2, ,26052.3,-2%,Down,361,42.17196,-87.892454
"Discovery, Inc.",Communication Services,31310.7, ,22549.5,-28%,Down,434,39.00286,-77.036646
DISH Network Corporation,Communication Services,26529.9, ,16321,-38%,Down,451,39.640813,-104.991667
Dollar General Corporation,Consumer Discretionary,19317.8, ,29089.3,51%,Up,207,36.328773,-86.702662
"Dollar Tree, Inc.",Consumer Discretionary,11740.7, ,20104,71%,Up,163,36.76755,-76.241601
"Dominion Energy, Inc.",Utilities,37548.4, ,48051.8,28%,Up,272,37.533702,-77.454038
Dover Corporation,Industrials,16447.1, ,12059.3,-27%,Down,431,41.832537,-88.007449
DTE Energy Company,Utilities,11737.6, ,20529.4,75%,Up,156,42.246684,-84.402188
Duke Energy Corporation,Utilities,48720.6, ,58947.4,21%,Up,290,35.223903,-80.848642
Duke Realty Corporation,Real Estate,4899.9, ,9907.1,102%,Up,106,39.926868,-86.083565
E*TRADE Financial Corporation,Financials,5617.2, ,12598.9,124%,Up,68,40.68295,-73.9708
Eastman Chemical Company,Materials,12421.3, ,11411.2,-8%,Down,379,36.535255,-82.550863
Eaton Corporation plc,Industrials,36118.9, ,33489.8,-7%,Down,378,53.330249,-6.233023
eBay Inc.,Consumer Discretionary,71028.1,LOSER,28449.6,-60%,Down,480,37.293311,-121.905128
Ecolab Inc.,Materials,31416.4, ,42916.6,37%,Up,244,44.946435,-93.0976
Edison International,Utilities,15085, ,22907.8,52%,Up,203,34.053949,-118.080241
Edwards Lifesciences Corporation,Health Care,7194.6, ,30448.9,323%,Up,16,33.672421,-117.764394
Electronic Arts Inc.,Communication Services,7091.3, ,31125,339%,Up,13,37.522886,-122.253977
Eli Lilly and Company,Health Care,54166.3, ,111640.5,106%,Up,100,40.45196,-86.095525
Emerson Electric Co.,Industrials,49485, ,45419.2,-8%,Down,380,38.690018,-90.235007
Entergy Corporation,Utilities,11282.3, ,15213.5,35%,Up,249,29.948986,-90.076645
"EOG Resources, Inc.",Energy,45816.1, ,68154.6,49%,Up,211,29.784753,-95.361416
EQT Corporation,Energy,13531.3, ,12259.7,-9%,Down,382,40.442422,-80.001087
Equifax Inc.,Industrials,8407.3, ,14878.1,77%,Up,151,33.769805,-84.414581
"Equinix, Inc. (REIT)",Real Estate,8832.9, ,32941,273%,Up,20,37.52658,-122.206273
Equity Residential,Real Estate,18694.5, ,23890.5,28%,Up,273,41.87897,-87.66063
"Essex Property Trust, Inc.",Real Estate,5458.7, ,16224.5,197%,Up,31,37.544858,-122.2911
"Everest Re Group, Ltd.",Financials,7466.5, ,8832.1,18%,Up,297,32.346323,-64.720267
Eversource Energy,Utilities,13356.8, ,20068.4,50%,Up,208,42.151299,-72.547692
Exelon Corporation,Utilities,23470.6, ,42625.5,82%,Up,141,41.881632,-87.630101
"Expedia Group, Inc.",Consumer Discretionary,9080.4, ,17683.1,95%,Up,123,47.613502,-122.196969
"Expeditors International of Washington, Inc.",Industrials,9096.9, ,11551.5,27%,Up,275,47.673455,-122.331537
Express Scripts Holding Company,Health Care,56599.8, ,53570.1,-5%,Down,370,38.635957,-90.239861
Extra Space Storage Inc.,Real Estate,5131.7, ,11028.5,115%,Up,85,40.773201,-111.933984
Exxon Mobil Corporation,Energy,442142.8, ,347045.4,-22%,Down,421,32.890213,-96.949767
"F5 Networks, Inc.",Information Technology,7051.5, ,10079.4,43%,Up,228,47.622468,-122.363828
"Facebook, Inc.",Communication Services,138820.1, ,444776,220%,Up,25,37.482058,-122.150364
Fastenal Company,Industrials,14098.2, ,14926.9,6%,Up,334,44.062605,-91.684374
Federal Realty Investment Trust,Real Estate,6595.8, ,9032.1,37%,Up,240,39.060804,-77.127463
FedEx Corporation,Industrials,44889, ,57920.8,29%,Up,265,35.105614,-89.858221
"Fidelity National Information Services, Inc.",Information Technology,15628, ,34115.1,118%,Up,81,30.317797,-81.673835
Fifth Third Bancorp,Financials,18566, ,17544.7,-6%,Down,372,39.14767,-84.543959
FirstEnergy Corp.,Utilities,13793.2, ,18881.9,37%,Up,241,41.083278,-81.51823
"Fiserv, Inc.",Information Technology,15231.2, ,31798.9,109%,Up,98,43.034166,-88.141065
"FleetCor Technologies, Inc.",Information Technology,9637, ,18039.2,87%,Up,130,33.973121,-84.224381
"FLIR Systems, Inc.",Information Technology,4263.8, ,7709.8,81%,Up,142,45.320288,-122.765302
Flowserve Corporation,Industrials,10994.3, ,6516.5,-41%,Down,454,32.871205,-96.938976
Fluor Corporation,Industrials,13115.6, ,6561.3,-50%,Down,469,32.903308,-96.949713
FMC Corporation,Materials,10056.9, ,10952.1,9%,Up,321,39.95167,-75.18285
"Foot Locker, Inc.",Consumer Discretionary,6080.9, ,5444.9,-10%,Down,385,40.752778,-73.995252
Ford Motor Company,Consumer Discretionary,60862.7, ,33878.7,-44%,Down,462,42.305765,-83.226264
"Fortinet, Inc.",Information Technology,3127, ,13733.9,339%,Up,12,37.376149,-122.010778
"Fortune Brands Home & Security, Inc.",Industrials,7596, ,6611.1,-13%,Down,394,42.156009,-87.842657
"Franklin Resources, Inc.",Financials,36418.2, ,15685.3,-57%,Down,478,37.562052,-122.308504
Freeport-McMoRan Inc.,Materials,39180, ,17417,-56%,Down,476,33.451741,-112.073169
Garmin Ltd.,Consumer Discretionary,8976.3, ,11699.8,30%,Up,263,47.699441,8.632512
"Gartner, Inc.",Information Technology,6549.2, ,13281.2,103%,Up,104,41.093085,-73.550846
General Dynamics Corporation,Industrials,33652.5, ,56370.5,68%,Up,169,38.886493,-77.176065
General Electric Company,Industrials,283589.9,LOSER,109160,-62%,Down,481,42.351957,-71.047811
"General Mills, Inc.",Consumer Staples,31170.6, ,26556.1,-15%,Down,401,44.96313,-93.266563
General Motors Company,Consumer Discretionary,56770.8, ,44019.7,-22%,Down,424,42.328834,-83.03898
Genuine Parts Company,Consumer Discretionary,12841, ,14871.9,16%,Up,306,33.769805,-84.414581
"Gilead Sciences, Inc.",Health Care,115154.5, ,94982.9,-18%,Down,412,37.56715,-122.281843
Global Payments Inc.,Information Technology,4737.1, ,18428.6,289%,Up,19,33.849597,-84.361308
"H&R Block, Inc.",Consumer Discretionary,7958.3, ,5304.5,-33%,Down,446,39.104725,-94.590374
Halliburton Company,Energy,43047.5, ,33031.3,-23%,Down,425,29.934117,-95.339762
Hanesbrands Inc.,Consumer Discretionary,6964.4, ,5883.5,-16%,Down,403,36.186568,-80.264813
"Harley-Davidson, Inc.",Consumer Discretionary,15399.1,LOSER,6527,-58%,Down,479,43.045543,-87.961873
Harris Corporation,Industrials,7460.9, ,19872.6,166%,Up,42,28.089555,-80.637923
"Hasbro, Inc.",Consumer Discretionary,7137.8, ,12445.1,74%,Up,158,41.883631,-71.353007
"HCA Healthcare, Inc.",Health Care,20845.3, ,46269.8,122%,Up,71,34.061471,-118.293242
"HCP, Inc.",Real Estate,16596.5, ,12403.6,-25%,Down,428,33.684174,-117.852632
"Helmerich & Payne, Inc.",Energy,9008.6, ,7206.6,-20%,Down,415,36.141333,-95.987959
"Henry Schein, Inc.",Health Care,9809.7, ,12633.2,29%,Up,268,40.767784,-73.417495
Hess Corporation,Energy,27614.1, ,19048.1,-31%,Down,443,40.757881,-73.98244
Hilton Worldwide Holdings Inc.,Consumer Discretionary,21907.7, ,21069.8,-4%,Down,366,38.938043,-77.172078
HollyFrontier Corporation,Energy,9911.2, ,11035.2,11%,Up,317,32.736212,-96.784359
"Hologic, Inc.",Health Care,6104.4, ,11110.8,82%,Up,139,42.325114,-71.583047
Honeywell International Inc.,Industrials,71695.6, ,113612,58%,Up,186,40.834934,-74.478899
Hormel Foods Corporation,Consumer Staples,11909.9, ,22247,87%,Up,131,43.669597,-92.974172
"Host Hotels & Resorts, Inc.",Real Estate,14702.1, ,14166,-4%,Down,365,38.989441,-77.118791
HP Inc.,Information Technology,53407.6, ,37724.6,-29%,Down,439,37.412152,-122.148505
Humana Inc.,Health Care,16093.4, ,45238.7,181%,Up,36,38.25643,-85.75861
Huntington Bancshares Incorporated,Financials,8014.5, ,15680,96%,Up,120,39.961104,-83.000955
"Huntington Ingalls Industries, Inc.",Industrials,4444.1, ,10154.7,128%,Up,65,36.987537,-76.442017
"IDEXX Laboratories, Inc.",Health Care,5520, ,18911.5,243%,Up,22,43.695848,-70.356638
Illinois Tool Works Inc.,Industrials,37317.9, ,42599.9,14%,Up,311,42.058573,-87.804636
"Illumina, Inc.",Health Care,13978.1, ,46025.7,229%,Up,24,32.869726,-117.197224
Incyte Corporation,Health Care,8157.5, ,14042.9,72%,Up,162,39.72266,-75.512825
Ingersoll-Rand Plc,Industrials,17746.1, ,23017.4,30%,Up,264,53.33928,-6.281314
Intel Corporation,Information Technology,129022.3, ,202884,57%,Up,190,37.386805,-121.963888
"Intercontinental Exchange, Inc.",Financials,25876.5, ,42600.6,65%,Up,172,33.769805,-84.414581
International Business Machines Corporation,Information Technology,203673.6, ,117838.4,-42%,Down,456,41.107543,-73.721238
International Flavors & Fragrances Inc.,Materials,7008.5, ,14837.1,112%,Up,87,40.769647,-73.989412
International Paper Company,Materials,21750.8, ,17271,-21%,Down,417,35.101317,-89.850528
