date,price
26-Mar-2015,2056.1
27-Mar-2015,2061
30-Mar-2015,2086.2
31-Mar-2015,2067.9
1-Apr-2015,2059.7
2-Apr-2015,2067
6-Apr-2015,2080.6
7-Apr-2015,2076.3
8-Apr-2015,2081.9
9-Apr-2015,2091.2
10-Apr-2015,2102.1
13-Apr-2015,2092.4
14-Apr-2015,2095.8
15-Apr-2015,2106.6
16-Apr-2015,2105
17-Apr-2015,2081.2
20-Apr-2015,2100.4
21-Apr-2015,2097.3
22-Apr-2015,2108
23-Apr-2015,2112.9
24-Apr-2015,2117.7
27-Apr-2015,2108.9
28-Apr-2015,2114.8
29-Apr-2015,2106.9
30-Apr-2015,2085.5
1-May-2015,2108.3
4-May-2015,2114.5
5-May-2015,2089.5
6-May-2015,2080.1
7-May-2015,2088
8-May-2015,2116.1
11-May-2015,2105.3
12-May-2015,2099.1
13-May-2015,2098.5
14-May-2015,2121.1
15-May-2015,2122.7
18-May-2015,2129.2
19-May-2015,2127.8
20-May-2015,2125.8
21-May-2015,2130.8
22-May-2015,2126.1
26-May-2015,2104.2
27-May-2015,2123.5
28-May-2015,2120.8
29-May-2015,2107.4
1-Jun-2015,2111.7
2-Jun-2015,2109.6
3-Jun-2015,2114.1
4-Jun-2015,2095.8
5-Jun-2015,2092.8
8-Jun-2015,2079.3
9-Jun-2015,2080.2
10-Jun-2015,2105.2
11-Jun-2015,2108.9
12-Jun-2015,2094.1
15-Jun-2015,2084.4
16-Jun-2015,2096.3
17-Jun-2015,2100.4
18-Jun-2015,2121.2
19-Jun-2015,2110
22-Jun-2015,2122.8
23-Jun-2015,2124.2
24-Jun-2015,2108.6
25-Jun-2015,2102.3
26-Jun-2015,2101.5
29-Jun-2015,2057.6
30-Jun-2015,2063.1
1-Jul-2015,2077.4
2-Jul-2015,2076.8
6-Jul-2015,2068.8
7-Jul-2015,2081.3
8-Jul-2015,2046.7
9-Jul-2015,2051.3
10-Jul-2015,2076.6
13-Jul-2015,2099.6
14-Jul-2015,2109
15-Jul-2015,2107.4
16-Jul-2015,2124.3
17-Jul-2015,2126.6
20-Jul-2015,2128.3
21-Jul-2015,2119.2
22-Jul-2015,2114.2
23-Jul-2015,2102.1
24-Jul-2015,2079.6
27-Jul-2015,2067.6
28-Jul-2015,2093.3
29-Jul-2015,2108.6
30-Jul-2015,2108.6
31-Jul-2015,2103.8
3-Aug-2015,2098
4-Aug-2015,2093.3
5-Aug-2015,2099.8
6-Aug-2015,2083.6
7-Aug-2015,2077.6
10-Aug-2015,2104.2
11-Aug-2015,2084.1
12-Aug-2015,2086
13-Aug-2015,2083.4
14-Aug-2015,2091.5
17-Aug-2015,2102.4
18-Aug-2015,2096.9
19-Aug-2015,2079.6
20-Aug-2015,2035.7
21-Aug-2015,1970.9
24-Aug-2015,1893.2
25-Aug-2015,1867.6
26-Aug-2015,1940.5
27-Aug-2015,1987.7
28-Aug-2015,1988.9
31-Aug-2015,1972.2
1-Sep-2015,1913.9
2-Sep-2015,1948.9
3-Sep-2015,1951.1
4-Sep-2015,1921.2
8-Sep-2015,1969.4
9-Sep-2015,1942
10-Sep-2015,1952.3
11-Sep-2015,1961
14-Sep-2015,1953
15-Sep-2015,1978.1
16-Sep-2015,1995.3
17-Sep-2015,1990.2
18-Sep-2015,1958
21-Sep-2015,1967
22-Sep-2015,1942.7
23-Sep-2015,1938.8
24-Sep-2015,1932.2
25-Sep-2015,1931.3
28-Sep-2015,1881.8
29-Sep-2015,1884.1
30-Sep-2015,1920
1-Oct-2015,1923.8
2-Oct-2015,1951.4
5-Oct-2015,1987.1
6-Oct-2015,1979.9
7-Oct-2015,1995.8
8-Oct-2015,2013.4
9-Oct-2015,2014.9
12-Oct-2015,2017.5
13-Oct-2015,2003.7
14-Oct-2015,1994.2
15-Oct-2015,2023.9
16-Oct-2015,2033.1
19-Oct-2015,2033.7
20-Oct-2015,2030.8
21-Oct-2015,2018.9
22-Oct-2015,2052.5
23-Oct-2015,2075.2
26-Oct-2015,2071.2
27-Oct-2015,2065.9
28-Oct-2015,2090.4
29-Oct-2015,2089.4
30-Oct-2015,2079.4
2-Nov-2015,2104
3-Nov-2015,2109.8
4-Nov-2015,2102.3
5-Nov-2015,2099.9
6-Nov-2015,2099.2
9-Nov-2015,2078.6
10-Nov-2015,2081.7
11-Nov-2015,2075
12-Nov-2015,2046
13-Nov-2015,2023
16-Nov-2015,2053.2
17-Nov-2015,2050.4
18-Nov-2015,2083.6
19-Nov-2015,2081.2
20-Nov-2015,2089.2
23-Nov-2015,2086.6
24-Nov-2015,2089.1
25-Nov-2015,2088.9
27-Nov-2015,2090.1
30-Nov-2015,2080.4
1-Dec-2015,2102.6
2-Dec-2015,2079.5
3-Dec-2015,2049.6
4-Dec-2015,2091.7
7-Dec-2015,2077.1
8-Dec-2015,2063.6
9-Dec-2015,2047.6
10-Dec-2015,2052.2
11-Dec-2015,2012.4
14-Dec-2015,2021.9
15-Dec-2015,2043.4
16-Dec-2015,2073.1
17-Dec-2015,2041.9
18-Dec-2015,2005.5
21-Dec-2015,2021.1
22-Dec-2015,2039
23-Dec-2015,2064.3
24-Dec-2015,2061
28-Dec-2015,2056.5
29-Dec-2015,2078.4
30-Dec-2015,2063.4
31-Dec-2015,2043.9
4-Jan-2016,2012.7
5-Jan-2016,2016.7
6-Jan-2016,1990.3
7-Jan-2016,1943.1
8-Jan-2016,1922
11-Jan-2016,1923.7
12-Jan-2016,1938.7
13-Jan-2016,1890.3
14-Jan-2016,1921.8
15-Jan-2016,1880.3
19-Jan-2016,1881.3
20-Jan-2016,1859.3
21-Jan-2016,1869
22-Jan-2016,1906.9
25-Jan-2016,1877.1
26-Jan-2016,1903.6
27-Jan-2016,1882.9
28-Jan-2016,1893.4
29-Jan-2016,1940.2
